COD_ETU,CNE,Note : TLGE3104,Résultat : TLGE3104,Session : TLGE3104,Année : TLGE3104,Note : TLGE3204,Résultat : TLGE3204,Session : TLGE3204,Année : TLGE3204,Note : TLGE3304,Résultat : TLGE3304,Session : TLGE3304,Année : TLGE3304,Note : TLGE3404,Résultat : TLGE3404,Session : TLGE3404,Année : TLGE3404,Note : TLGE3504,Résultat : TLGE3504,Session : TLGE3504,Année : TLGE3504,Note : TLGE3604,Résultat : TLGE3604,Session : TLGE3604,Année : TLGE3604,Note : TLGE3004,Résultat : TLGE3004,Session : TLGE3004,Année : TLGE3004,Note : TLGE4104,Résultat : TLGE4104,Session : TLGE4104,Année : TLGE4104,Note : TLGE4204,Résultat : TLGE4204,Session : TLGE4204,Année : TLGE4204,Note : TLGE4304,Résultat : TLGE4304,Session : TLGE4304,Année : TLGE4304,Note : TLGE4404,Résultat : TLGE4404,Session : TLGE4404,Année : TLGE4404,Note : TLGE4504,Résultat : TLGE4504,Session : TLGE4504,Année : TLGE4504,Note : TLGE4604,Résultat : TLGE4604,Session : TLGE4604,Année : TLGE4604,Note : TLGE4004,Résultat : TLGE4004,Session : TLGE4004,Année : TLGE4004,Note : TLMP140C,Résultat : TLMP140C,Session : TLMP140C,Année : TLMP140C,Note : TLMP240C,Résultat : TLMP240C,Session : TLMP240C,Année : TLMP240C
12011404,1229332208,7,AC,2,2015,12.475,V,1,2015,10,V,2,2014,17.2,V,1,2014,11.9,V,1,2014,16.925,V,1,2014,12.583,V,2,2015,8.8,AC,2,2014,10.075,V,1,2014,13.1,V,1,2014,17.7,V,1,2014,10.75,V,1,2014,7.95,AC,2,2014,11.396,V,2,2014,,,,,,,,
12011407,1210036858,10,V,2,2014,4.35,NRA,1,2015,5,NV,2,2015,14.3,V,1,2014,10,V,2,2013,13.4,V,1,2014,9.508,NV,2,2015,0,NRA,1,2015,0,NV,2,2015,10,V,1,2014,15.3,V,1,2014,0,NRA,1,2015,0,NRA,1,2015,4.217,NV,2,2015,,,,,,,,
12012155,1210717018,10,V,2,2015,7.5,AC,2,2015,10,V,1,2015,10,V,2,2013,13,V,1,2015,11.5,V,1,2015,10.333,V,2,2015,7.65,AC,2,2015,7.9,AC,2,2015,10.75,V,1,2015,16.25,V,1,2015,11.6,V,1,2015,10,V,1,2015,10.692,V,2,2015,,,,,,,,
12012919,1229760977,8,NV,2,2015,10,V,2,2014,5,NV,2,2015,15.3,V,1,2014,11.55,V,1,2013,14,V,1,2014,10.642,NV,2,2015,6.3,NV,2,2015,6.825,NV,2,2015,12.625,V,1,2015,10,V,1,2015,10,V,2,2014,1.8,NRA,1,2015,7.925,NV,2,2015,,,,,,,,
12012921,1210713946,10,V,2,2015,10,V,2,2015,10,V,2,2015,13.2,V,1,2014,10,V,2,2014,13,V,1,2014,11.033,V,2,2015,6.2,NV,2,2015,9,NV,2,2015,10,V,2,2014,15.9,V,1,2014,13.8,V,1,2015,7,NV,2,2015,10.317,NV,2,2015,,,,,,,,
13011488,1311691370,14.5,V,1,2015,11.6,V,1,2015,15.8,V,1,2015,10.1,V,1,2015,16.5,V,1,2015,11.075,V,1,2015,13.263,V,1,2015,11.3,V,1,2015,15.1,V,1,2015,15.5,V,1,2015,16.5,V,1,2015,13.8,V,1,2015,10.1,V,1,2015,13.717,V,1,2015,,,,,,,,
13012024,1311374340,10.7,V,1,2015,14.625,V,1,2015,12,V,1,2014,14.4,V,1,2014,9,AC,2,2015,13,V,1,2014,12.288,V,2,2015,11.3,V,1,2014,11.725,V,1,2014,10.2,V,1,2014,14.7,V,1,2014,12,V,1,2014,10.65,V,1,2014,11.763,V,1,2014,,,,,,,,
13012477,1311700550,8,NV,2,2015,10,V,2,2015,10,V,2,2015,8.5,NV,2,2015,10,V,2,2015,12.5,V,1,2014,9.833,NV,2,2015,5.25,NV,2,2015,10,V,2,2015,8.5,NV,2,2015,9.75,NV,2,2015,10.4,V,1,2015,5.4,NV,2,2015,8.217,NV,2,2015,,,,,,,,
13012497,1210709355,10,V,2,2015,10,V,2,2015,7,AC,2,2015,13.9,V,1,2014,9,AC,2,2015,15.1,V,1,2014,10.833,V,2,2015,7,AC,2,2015,10.25,V,1,2015,10,V,1,2014,14.4,V,1,2014,10.25,V,1,2014,8,AC,2,2015,9.983,AC,2,2015,,,,,,,,
13012740,1311687356,10,V,2,2015,7,AC,2,2015,10.5,V,1,2015,10,V,2,2015,10,V,2,2015,11.275,V,1,2015,9.796,AC,2,2015,10.4,V,1,2015,10,V,2,2015,11.875,V,1,2015,10,V,1,2015,15.8,V,1,2015,7.5,AC,2,2015,10.929,V,2,2015,,,,,,,,
